NAME,YEAR,THICKNESS_CHG
AALFOTBREEN,1988,-6400.0
AALFOTBREEN,1997,5000.0
AASGAARDFONNNA ICE CAP,2002,-360.0
ADLER,2009,-1193.0
ADLER,2010,-880.3571428571429
AGASSIZ,1999,-30000.0
AGASSIZ,2002,-3000.0
AGASSIZ ICE CAP,2000,-350.0
AIALIK,1994,-3310.6666666666665
AIALIK,2000,-2040.0
AK-SAY,1999,-22400.0
AK-SAY,2012,-3300.0
AKSHIIRAK GLACIER GROUP,1977,-8300.0
AKSHIIRAK GLACIER GROUP,2000,-15100.0
AKSU,1977,-11200.0
ALAMKOUH,1997,-27470.0
ALAMKOUH,2002,-32530.0
ALAMKOUH,2010,-16790.0
ALBA,1999,-4560.0
ALDEGONDABREEN,1990,-41920.0
ALFOMBRALES,1985,0.0
ALLALIN,1946,-2100.0
ALLALIN,1956,-2135.0
ALLALIN,1967,315.0
ALLALIN,1982,4410.0
ALLALIN,1991,-7310.0
ALLALIN,1999,-2230.0
ALLALIN,2004,-1090.0
ALLEN,2000,-45000.0
ALLEN,2004,-48000.0
AMA DABLAM,2007,-7550.0
AMALIA,2000,-12500.0
AMPHU LAPTSE,2007,-7150.0
ANDREWS,1963,-3000.0
ANDREWS,1964,-1120.0
ANETO,1999,-4560.0
ANTIZANA15ALPHA,1965,-2550.0
ANTIZANA15ALPHA,1993,-4550.0
ANTIZANA15ALPHA,1997,-2670.0
ANTONIABREEN,2002,-2940.0
ANUCHIN,1981,930.0
ARCO,2000,-36750.0
ARENALES,2000,-16750.0
AREY,1993,-11600.0
AREY,1994,-11400.0
AROLLA (BAS),1993,-860.0
ASIA,2000,-16750.0
ATHABASCA,1962,-1474.0
ATHABASCA,1965,-1984.0
ATHABASCA,1967,682.0
ATHABASCA,1969,200.0
ATHABASCA,1971,-6940.0
ATHABASCA,1973,733.3333333333334
ATHABASCA,1975,-3186.0
ATHABASCA,1977,-2078.6666666666665
ATHABASCA,1979,-1041.3333333333333
AUSTRE BROEGGERBREEN,1985,-5200.0
AUSTRE MEMURUBREEN,1995,16920.0
AUSTRE MEMURUBREEN,2000,8365.0
AX010,1991,-19421.61111111111
AX010,1996,-5500.0
AX010,1999,-1636.0
AX010,2008,-7290.0
AYDGYNE,1999,-29900.0
AYDGYNE,2012,-8000.0
AYLAMA,1957,-9011.666666666666
AZUFRADO,1985,-20000.0
BAHIA DEL DIABLO,2011,-2550.0
BAIRD,1996,-15467.0
BAIRD,1999,-2580.0
BALMACEDA,2000,-43750.0
BARA SHIGRI,2004,-7557.478260869565
BARNARD,2007,-3422.0
BARNES ICE CAP,2000,-3020.0
BARRANCS,1999,-5330.0
BASODINO,1949,-12090.0
BASODINO,1961,-2800.0
BASODINO,1971,4160.0
BASODINO,1985,2870.0
BASODINO,1991,-5380.0
BASODINO,2002,-4450.0
BATTLE,2000,-34320.0
BAZHIN,1958,-5157.0
BAZHIN,1987,-6645.0
BEAR,1994,-36977.666666666664
BEAR,2000,-5050.0
BEAR LAKE,1957,400.0
BEAR LAKE,1994,-10248.4
BEAR LAKE,1999,-4750.0
BENCH,2000,-83944.5
BENCH,2004,-61400.0
BENITO,2000,-33750.0
BERING,1995,-18144.0
BERING,2000,-15500.0
BERING,2003,-191000.0
BERING,2007,-6356.0
BERNARDO,1995,-400.0
BERNARDO,2000,-12050.0
BEZYMYANNYY,1977,-39420.0
BLAADAL,1997,-15080.0
BLACK RAPIDS,1995,14578.0
BLACK RAPIDS,2000,-3300.0
BLANC,2002,-12000.0
BLAUEIS,1959,-6200.0
BLAUEIS,1970,-2600.0
BLAUEIS,1980,4414.833333333333
BLAUEIS,1989,-6829.666666666667
BLUE GLACIER,1952,-5100.0
BLUE GLACIER,1957,6200.0
BLUE GLACIER,1987,3350.0
BLUE GLACIER,1996,-4205.0
BOLSHOY USINSKIY,1968,-1730.0
BONDHUSBREA,1997,-2320.0
BORDU,1977,-21280.0
BRADY,1995,-18800.0
BRADY,2000,-16725.0
BRAVO,1995,-8553.333333333334
BRAVO,2000,-4175.0
BREIDABLIKKBREA,1997,-16890.0
BROEGGER PENA,1990,-10210.0
BROWN,2003,-7370.0
BUGABOO,1966,5335.0
BUGABOO,1968,5047.5
BUGABOO,1970,712.5
BUGABOO,1972,3846.6666666666665
BUGABOO,1974,6236.666666666667
BUGABOO,1976,5772.727272727273
BUGABOO,1978,4975.0
CALDERONE,2001,-377.6666666666667
CALDERONE,2002,-1919.3333333333333
CALDERONE,2003,-171.66666666666666
CALDERONE,2004,240.33333333333334
CALDERONE,2005,98.33333333333333
CALDERONE,2006,1380.0
CALDERONE,2007,-1616.6666666666667
CALDERONE,2008,137.5
CALDERONE,2010,750.0
CALDERONE,2012,-1771.0
CALDERONE,2013,519.6666666666666
CALVO,2000,-14500.0
CAMPO SETT.,2007,-4471.0
CAMPO SETT.,2009,-2230.0
CARESER,1980,-4504.444444444444
CARESER,1990,-14189.166666666666
CARESER,1997,-8990.0
CARESER,2000,-7400.0
CARSTENSZ,1972,-21000.0
CESAR,1987,-3600.0
CESAR,2004,-18000.0
CHACALTAYA,1963,-5640.0
CHACALTAYA,1983,-12490.0
CHACALTAYA,1996,-3011.222222222222
CHACALTAYA,1997,-683.75
CHACALTAYA,1998,-3575.375
CHACALTAYA,1999,-1905.7272727272727
CHACALTAYA,2000,-824.3636363636364
CHACALTAYA,2001,-11.0
CHACALTAYA,2002,-1350.0
CHACALTAYA,2003,-1042.0
CHACALTAYA,2004,-902.0
CHACALTAYA,2005,-2635.0
CHACALTAYA,2006,-1198.7142857142858
CHACALTAYA,2007,-1651.5
CHACALTAYA,2008,-1109.3333333333333
CHANGRI NUP / SHAR,2007,-6600.0
CHARQUINI SUR,2003,-729.0
CHARQUINI SUR,2004,-1689.375
CHARQUINI SUR,2005,-1541.2
CHARQUINI SUR,2006,-630.8333333333334
CHARQUINI SUR,2007,-636.3333333333334
CHARQUINI SUR,2008,34.6
CHARQUINI SUR,2009,-539.0
CHARQUINI SUR,2011,-2267.3333333333335
CHARQUINI SUR,2012,418.8
CHARQUINI SUR,2013,116.0
CHERNOF,1996,-29562.333333333332
CHERNOF,2000,-3330.0
CHERNOV,1968,-5060.0
CHERNOV,1981,-4670.0
CHHOTA SHIGRI,2010,-1656.625
CHICO,1995,-10850.0
CHICO,2000,-12175.0
CHIKUMINUK,1996,1480.0
CHIKUMINUK,2001,1400.0
CHOGO LUNGMA,1970,-29466.666666666668
CHOGO LUNGMA,1979,-10366.666666666666
CHUKHUNG,2007,-2550.0
CHUNGPAR-TASH.,1958,-10725.0
CHUNGPAR-TASH.,1987,-11114.285714285714
CLARIDENFIRN,1985,2290.0
CLARIDENFIRN,1990,-4530.0
CLARIDENFIRN,2003,-4590.0
COLONIA,2000,-11250.0
COLONY,2004,-12222.0
COLUMBIA (627),1994,-54267.0
COLUMBIA (627),1999,-37100.0
COLUMBIA (627),2004,-159074.5
CORBASSIERE,1935,-8170.0
CORBASSIERE,1998,-10120.0
CORBASSIERE,2003,-1450.0
CORONAS,1999,-14000.0
CRATER,1985,-7500.0
CREGUENA E,1999,-11560.0
CREGUENA W,1999,-8780.0
DARWIN,1987,-9600.0
DARWIN,2004,-23700.0
DAVIDOV,1977,9616.666666666666
DAWES,2000,-132990.0
DE LOS TRES,1998,-2340.0
DESERTED,2000,-41000.0
DESERTED,2004,-23900.0
DEVON ICE CAP,2000,-320.0
DIAMOND,1987,-3700.0
DIAMOND,2004,-4700.0
DICKSON,1995,28500.0
DICKSON,2000,-38750.0
DIMDAL-FRUKOSTTINDBREEN,1985,-667.0
DIMDAL-FRUKOSTTINDBREEN,2002,-3667.0
DINGLESTADT,1996,-36927.666666666664
DINGLESTADT,2000,-5670.0
DJANKUAT,1974,-2090.909090909091
DJANKUAT,1984,-1200.0
DJANKUAT,1992,-947.6363636363636
DJANKUAT,1996,-1322.2727272727273
DJANKUAT,1998,-1900.090909090909
DJANKUAT,1999,-1005.6666666666666
DOKRIANI,1995,-10540.0
DOUBLE,1996,-29467.0
DOUBLE,2001,100.0
DUNERBREEN,2002,-1200.0
DUWO,2007,-11550.0
EAST FORK,1995,-15000.0
EAST FORK,2000,-3200.0
EAST OKPILAK,1993,-7350.0
EL OSO,1985,-5000.0
ENGABREEN,1985,-2333.0
ENGABREEN,2002,-466.5
ERIKBREEN,1970,-4560.0
ERIKBREEN,1990,-8890.0
ESETUK,1993,-12925.0
EUROPA,2000,-5750.0
EXIT,1994,-5396.333333333333
EXIT,1996,-3500.0
EXIT,2000,-1250.0
EXPLORADORES,2000,-21500.0
FAIR,1964,-1070.0
FEDCHENKO,1958,-2557.0588235294117
FEDCHENKO,1979,-2837.0588235294117
FIERO,2000,-19500.0
FINDELEN,2009,-4101.8125
FINDELEN,2010,-1659.3125
FINGER,2000,-9880.0
FINSTERWALDERBREEN,2003,43.0
FLADE ISBLINK ICE CAP,2008,540.0
FLADE ISBLINK ICE CAP,2009,210.0
FLATISVATNET,2002,-5889.0
FLUCHTHORN GL.,1967,800.0
FONNDALSBREEN,1985,-2556.0
FONTANA BIANCA / WEISSBRUNNF.,1997,-13560.0
FOREL,2004,-3300.0
FORK TLIKAKILA,2001,-20680.0
FRAENKEL,2000,-23250.0
FRANKLINBREEN N+S,2002,660.0
FRIAS,1995,-23650.0
FRIAS,2000,-34175.0
FRIDTJOVBREEN,2002,-1560.0
FURTSCHAGL K.,2009,-4254.8
GEPATSCH F.,1896,-23200.0
GEPATSCH F.,1922,-17160.0
GEPATSCH F.,1940,-24894.0
GEPATSCH F.,1953,-28789.090909090908
GEPATSCH F.,1958,-628.125
GEPATSCH F.,1971,-533.125
GEPATSCH F.,1979,2099.8823529411766
GEPATSCH F.,1990,-1477.5882352941176
GEPATSCH F.,1997,-8542.411764705883
GIETRO,1971,40.0
GIETRO,1985,-4200.0
GIETRO,1997,-3200.0
GIETRO,2003,-3290.0
GILLAM,1996,-11000.0
GILLAM,2000,-2800.0
GOLUBIN,1999,-23100.0
GOLUBIN,2012,-2300.0
GOOSENECK,1995,-12585.0
GORNER,1982,-18600.0
GORNER,2003,-15060.0
GRAAFJELLSBREA,1997,-19490.0
GRAASUBREEN,1984,-3889.0
GRAASUBREEN,1997,-1667.0
GRAN CAMPO NEVADO (GCN),2000,-6150.0
GRAND PACIFIC,2000,-15860.0
GRAND PLATEAU,2000,-62400.0
GREGORY,1986,-10100.0
GREGORY,1987,-8300.0
GREGORY,1990,-5300.0
GREGORY,1993,-1100.0
GREGORY,2004,-14900.0
GREVE,1995,-15140.0
GREVE,2000,-26930.0
GREY,2000,-29250.0
GRIES,1923,-25460.0
GRIES,1961,-41558.46153846154
GRIES,1967,-1930.0
GRIES,1979,-7714.285714285715
GRIES,1986,-3717.923076923077
GRIES,1991,-6074.615384615385
GRIES,1998,-6130.0
GRIES,2003,-5050.0
GRIES,2007,-2106.0
GROSSE,2000,-39000.0
GROSSER ALETSCH,1927,-15930.0
GROSSER ALETSCH,1957,-15125.0
GROSSER ALETSCH,1980,-5150.0
GROSSER ALETSCH,1999,-11270.0
GRUENAU F.,1950,-10440.0
GRUENAU F.,1959,-733.0769230769231
GRUENAU F.,1969,480.7692307692308
GRUENAU F.,1979,3586.923076923077
GRUENAU F.,1989,1050.0
GRUENAU F.,1997,-7192.1
GRUENAU F.,2009,-10577.608695652174
GUALAS,2000,-32750.0
GUILARDI,2000,-15900.0
GULKANA,1974,-4830.0
GULKANA,1993,-7114.0
GULKANA,1995,-12658.5
GULKANA,1999,-6440.0
GULKANA,2000,-3950.0
GURGLER F.,1981,-6272.4
GUSLAR F.,1912,-8438.888888888889
GUSLAR F.,1938,-8770.588235294117
GUSLAR F.,1969,-19507.14285714286
GUSLAR F.,1979,-228.44444444444446
GUSLAR F.,1990,-8205.666666666666
GUYOT NORTH BRANCH,2007,-4022.0
GUYOT SOUTH BRANCH,2007,1422.0
HANGENDE,1967,1700.0
HANGING,1994,-440.0
HANSBREEN,2000,-9600.0
HANSBREEN,2005,-7000.0
HARVARD,2001,7822.0
HAYDEN,1999,-38000.0
HEER LD GLACIERS,1990,-8550.0
HEIM,1987,-100.0
HEIM,2004,-15500.0
HELLSTUGUBREEN,1980,-6440.0
HELLSTUGUBREEN,1997,-2220.0
HIDDEN,1996,-80000.0
HIDDEN,2000,-91520.0
HIDDEN,2007,-4756.0
HINTEREIS FERNER,1920,-9880.0
HINTEREIS FERNER,1940,-12600.0
HINTEREIS FERNER,1953,-11050.0
HINTEREIS FERNER,1959,-873.5714285714286
HINTEREIS FERNER,1964,-8824.0
HINTEREIS FERNER,1967,1529.0
HINTEREIS FERNER,1969,-756.5333333333333
HINTEREIS FERNER,1979,-2879.8125
HINTEREIS FERNER,1991,-8805.64705882353
HINTEREIS FERNER,1997,-5192.705882352941
HINTEREIS FERNER,2006,-11882.0
HOCHJOCH F.,1940,-12210.0
HOCHSTETTERBREEN,2002,-1320.0
HOEGTUVBREEN,1998,-7000.0
HOELLENTAL,1959,-1900.0
HOELLENTAL,1970,3100.0
HOELLENTAL,1977,810.0
HOELLENTAL,1981,3232.4
HOELLENTAL,1989,-2732.1666666666665
HOELLENTAL,1997,-7245.333333333333
HOELLENTAL,2006,-6364.7
HOHLAUB,1932,-12270.0
HOHLAUB,1946,-2940.0
HOHLAUB,1956,-13305.0
HOHLAUB,1967,45.0
HOHLAUB,1982,3860.0
HOHLAUB,1991,-7630.0
HOHLAUB,1999,-2000.0
HOHLAUB,2004,-2420.0
HOLGATE,1994,-13532.666666666666
HOLGATE,2000,-6850.0
HORN K.(ZILLER),1950,-21460.0
HORN K.(ZILLER),1960,-410.0
HORN K.(ZILLER),1969,784.6153846153846
HORN K.(ZILLER),1979,5209.846153846154
HORN K.(ZILLER),1989,-1909.142857142857
HORN K.(ZILLER),1996,-11768.8
HORN K.(ZILLER),1999,-11800.0
HORN K.(ZILLER),2009,-15098.041666666666
HPN 1,2000,-55500.0
HPN 4,2000,-19250.0
HPN2 + HPN3,2000,-26000.0
HPS10,2000,-8450.0
HPS12,2000,-32620.0
HPS13,2000,-10750.0
HPS15,2000,-5600.0
HPS19,2000,-7800.0
HPS29,2000,-22500.0
HPS31,2000,-8750.0
HPS34,2000,-250.0
HPS9,1995,-5550.0
HPS9,2000,-6725.0
HUBBARD,2000,4510.0
HUBBARD,2007,3467.0
HURD,2000,-3600.0
IGAN,1960,-10270.0
IGAN,1981,-10265.0
IGLI TUYUKSU,1998,-11556.0
ISABELLE,1964,-290.0
JAMTAL F.,2002,-2353.0
JAMTAL F.,2006,-5882.0
JOHNS HOPKINS,2000,21320.0
JOHNSONS,2000,-7500.0
JORGE MONTT,2000,-84250.0
JOSEPH,1987,-5100.0
JOSEPH,2004,-17400.0
KACHEMAK,1996,-16653.333333333332
KACHEMAK,2000,-2520.0
KAHILTNA,1994,-19780.0
KANGWURE,2008,-7500.0
KARAKOLTOR,1977,-33.333333333333336
KARSKIY,1968,-6160.0
KASKAWULSH,1995,-19420.0
KASKAWULSH,2000,-2550.0
KELDYKE,1977,-13971.666666666666
KESSELWAND FERNER,1971,706.0
KESSELWAND FERNER,1997,-4118.0
KESSELWAND FERNER,2006,-5882.0
KESSJEN,1932,-9480.0
KESSJEN,1946,-8260.0
KESSJEN,1956,-15470.0
KESSJEN,1967,-1680.0
KESSJEN,1982,500.0
KESSJEN,1991,-8730.0
KESSJEN,1999,-4630.0
KESSJEN,2004,-4150.0
KHUMBU,2007,-6800.0
KLUTLAN,2007,-2178.0
KNIK NORTH,2004,-13333.0
KNIK SOUTH,2004,-27778.0
KOKANEE,1966,1330.0
KOKANEE,1968,-6370.0
KOKANEE,1970,-6430.0
KOKANEE,1972,-2668.0
KOLPAKOVSKIY,1977,-25083.333333333332
KOLTOR VOSTOCHNIY,1977,-19740.0
KONGSVEGEN,2002,-1740.0
KRAPF,1987,-2800.0
KRAPF,2004,-12800.0
LAGUNILLAS,1985,-20000.0
LAMPLUGH,1995,17233.0
LANGFJORDJOEKELEN,1994,-16025.0
LAPEROUSE,2000,-15080.0
LECONTE,1996,-25067.0
LECONTE,1999,-7110.0
LECONTE,2000,-48360.0
LEMON CREEK,1957,-1930.0
LEMON CREEK,1989,-10800.0
LEMON CREEK,1995,-16848.0
LEMON CREEK,1999,-5880.0
LEONES,2000,-5750.0
LEWIS,1958,-21602.2
LEWIS,1963,-2125.9
LEWIS,1974,-7951.0
LEWIS,1978,-3921.8
LEWIS,1983,-5771.4
LEWIS,1987,-11700.0
LEWIS,2004,-13600.0
LHOTSE,2007,-8400.0
LHOTSE NUP,2007,-6650.0
LHOTSE SHAR / IMJA,2007,-14350.0
LIMMERN,1947,-33500.0
LIMMERN,1959,-4400.0
LIMMERN,1977,-6011.666666666667
LITTLE DINGLESTADT,1996,-12066.666666666666
LITTLE DINGLESTADT,2000,-810.0
LITTLE JARVIS,1994,0.0
LITTLE JARVIS,1995,0.0
LITUYA,2000,-3120.0
LLEWELLYN,2000,-23100.0
LLOSAS,1999,-10220.0
LOGAN,2007,-1556.0
LOMONOSOVFONNA,2002,-240.0
LUCIA,2000,-36750.0
LUPO,2009,704.0
LUPO,2010,408.0
MALADETA,1999,-5440.0
MALADETA,2001,-6889.2307692307695
MALADETA,2002,-1353.6666666666667
MALADETA,2003,-2544.1666666666665
MALADETA,2004,-1984.5454545454545
MALADETA,2005,-2948.1
MALADETA,2006,-3171.3636363636365
MALADETA,2007,-2149.909090909091
MALADETA,2008,-118.18181818181819
MALADETA,2009,-2369.230769230769
MALADETA,2010,-61.53846153846154
MALASPINA,1995,-21467.0
MALASPINA,2000,-4750.0
MALASPINA,2007,-4889.0
MANSHUK MAMETOVA,1998,-10444.0
MARCUS BAKER,2004,-35556.0
MARGERIE,2000,17160.0
MARTIAL ESTE,1998,-7000.0
